Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944544.394886,34,72,246,37,59,41,971,45
1486944544.418019,39,76,179,40,63,44,801,43
1486944544.44137,40,87,267,44,67,41,701,45
1486944544.458616,41,87,353,46,67,38,666,43
1486944544.477708,44,92,350,48,62,43,823,45
1486944544.502071,41,95,459,51,59,47,878,39
1486944544.513528,40,114,584,62,56,47,920,37
1486944544.53607,40,117,880,67,54,52,982,37
1486944544.559025,38,171,1099,72,49,53,1008,36
1486944544.573251,36,187,1310,78,48,48,867,34
1486944544.595598,35,192,1324,78,46,45,956,38
1486944544.618658,35,213,1329,76,47,47,1079,41
1486944544.633833,36,224,1352,79,50,42,1121,43
1486944544.654928,37,201,1267,74,52,46,1085,42
1486944544.679233,36,190,1241,74,59,47,1046,40
1486944544.693361,39,182,1204,74,60,46,1061,38
1486944544.715877,40,144,1250,81,66,48,1017,37
1486944544.738786,36,117,1152,303,64,51,1160,34
1486944544.753859,39,97,1183,409,97,50,1262,32
1486944544.791552,207,95,1289,445,188,82,1405,32
1486944544.802005,251,127,1522,474,281,126,1567,30
1486944544.820876,265,144,1517,473,528,132,1653,34
1486944544.836097,273,184,1440,373,588,243,1513,38
1486944544.858953,667,299,1370,257,821,287,1407,38
1486944544.872871,879,471,1201,192,983,281,1256,45
1486944544.895694,1106,498,1165,115,1065,287,849,45
1486944544.918527,1167,519,1197,303,1070,305,709,46
1486944544.933662,1172,516,1269,670,1069,605,900,50
1486944544.955027,1002,467,1287,931,905,871,1109,52
1486944544.979496,797,360,1194,993,710,1061,1277,46
1486944544.993586,403,458,972,1091,540,1191,1494,45
1486944545.015701,135,476,842,1167,449,1325,1578,38
1486944545.038793,52,511,704,1104,884,1331,1570,32
1486944545.061875,29,605,580,918,981,1195,1469,30
1486944545.075638,21,715,547,852,1138,1048,1336,31
1486944545.099436,446,831,781,728,1232,901,1090,34
1486944545.12104,723,1069,949,718,1326,691,760,37
1486944545.136118,1052,1172,1106,862,1219,388,405,40
1486944545.158762,1104,1242,1204,867,1276,284,277,42
1486944545.181954,1140,1193,1355,987,1284,203,726,51
1486944545.195723,1054,1064,1243,1150,1229,155,1180,51
1486944545.21831,888,799,1127,1179,1086,103,1396,55
1486944545.241544,453,737,995,1139,1028,71,1438,110
1486944545.255328,306,835,961,1236,929,57,1429,198
1486944545.279069,604,1020,873,1274,807,45,1252,238
1486944545.302161,994,1059,944,1337,918,214,835,693
1486944545.326032,1332,1081,1142,1490,1074,685,374,1029
1486944545.341615,1498,1164,1293,1516,1199,1093,647,1170
1486944545.361499,1734,1238,1476,1548,1329,1262,992,1262
1486944545.3842,1703,1176,1566,1619,1390,1347,1088,1425
1486944545.398222,1605,1350,1573,1557,1500,1460,1209,1318
1486944545.420956,1516,1457,1534,1371,1477,1567,1339,1117
1486944545.443702,1478,1412,1592,1324,1462,1390,1308,978
1486944545.457758,1380,1211,1516,1277,1327,1311,1121,847
1486944545.480255,1361,1142,1544,1099,1256,1267,1114,513
1486944545.504399,1254,1137,1523,1176,1064,1225,1172,364
1486944545.525906,1181,1114,1490,1250,1088,1068,1239,204
1486944545.541178,1135,1151,1407,1255,938,1239,1251,113
1486944545.555176,1301,1175,1517,1264,1099,1404,1262,70
1486944545.579137,1392,1299,1494,1329,1129,1529,1280,43
1486944545.602068,1538,1309,1459,1281,1091,1617,1291,31
1486944545.61587,1534,1276,1454,1192,1040,1660,1221,202
1486944545.638815,1557,1186,1478,1142,1126,1621,1209,491
1486944545.661617,1414,1258,1341,1145,994,1589,1325,780
1486944545.675598,1369,1249,1436,1124,981,1555,1348,992
1486944545.699683,1332,1225,1606,974,997,1425,1240,1079
1486944545.721064,1366,1286,1585,911,911,1316,1194,1123
1486944545.736073,1302,1342,1458,803,703,1242,1126,1065
1486944545.758861,1190,1293,1336,608,609,1168,1142,891
1486944545.781719,1119,1211,1034,355,466,1033,1299,650
1486944545.79589,1067,1215,746,273,349,1108,1312,495
1486944545.818634,1040,1132,685,277,280,1183,1362,329
1486944545.841341,1039,1072,769,273,237,1231,1432,189
1486944545.855164,1074,1115,782,297,190,1220,1302,91
1486944545.879301,1097,1105,742,310,174,1366,1083,62
1486944545.902431,1118,923,661,315,173,1322,1049,43
1486944545.915929,1015,924,562,272,154,1242,1068,411
1486944545.938669,1009,986,359,259,120,1176,997,717
1486944545.962477,1049,867,257,224,111,1158,996,809
1486944545.984481,1035,816,251,207,89,1048,982,889
1486944545.999457,990,763,232,206,81,1107,997,973
1486944546.028663,1025,700,217,171,73,1144,826,947
1486944546.043781,996,581,210,172,66,1187,742,809
1486944546.058968,966,595,204,187,79,1157,798,858
1486944546.081728,990,563,153,177,95,1146,765,940
1486944546.104615,1003,558,137,167,96,1092,686,1001
1486944546.118602,1037,629,132,180,111,1077,758,1127
1486944546.14127,1092,673,145,166,128,989,751,1250
1486944546.164056,1031,707,217,182,144,971,641,1286
1486944546.177904,1053,814,459,207,136,1108,776,1353
1486944546.200664,1076,887,631,253,138,1074,842,1484
1486944546.223565,1245,1009,963,539,140,1051,901,1478
1486944546.238687,1400,1009,1126,747,226,1048,970,1477
1486944546.261518,1455,1123,1205,948,516,1167,1073,1443
1486944546.284351,1544,1096,1369,1109,688,1058,1046,1294
1486944546.298192,1530,1260,1436,1172,918,1229,1083,1019
1486944546.321089,1310,1231,1350,1177,1161,1320,1020,820
1486944546.345854,1065,1336,1441,1258,1446,1469,1026,531
1486944546.360231,911,1343,1575,1161,1507,1476,993,259
1486944546.384047,546,1505,1399,1020,1482,1464,950,129
1486944546.404577,250,1379,1373,1094,1443,1367,935,297
1486944546.418525,136,1268,1365,1157,1439,1352,1064,301
1486944546.441206,81,1097,1339,1088,1225,1378,1180,481
1486944546.464055,54,903,1217,1356,1191,1294,1217,514
1486944546.477956,45,463,1350,1495,1294,1344,1342,519
1486944546.508288,707,721,1374,1484,1347,1455,1467,727
1486944546.523507,825,802,1368,1473,1245,1406,1457,940
1486944546.54625,904,833,1225,1485,1224,1244,1359,1095
1486944546.568943,1048,839,1189,1322,1221,1242,1355,1233
1486944546.583109,1239,841,1053,1231,1156,1187,1271,1355
1486944546.605875,1055,476,1016,1242,1136,1101,1116,1351
1486944546.633648,979,288,1053,1243,1117,1164,1037,1296
1486944546.648965,1166,701,1070,1147,1162,1154,1023,1131
1486944546.67277,1276,1000,981,1103,1127,1164,922,982
1486944546.688242,1440,1365,961,1052,1087,1112,875,904
1486944546.715722,1603,1602,866,962,1052,1070,821,797
1486944546.731159,1622,1640,720,864,1032,986,852,668
1486944546.747556,1449,1494,667,861,971,1001,813,699
1486944546.769186,1246,1319,706,874,898,1069,891,712
1486944546.791699,818,1067,759,932,940,1141,986,709
1486944546.80597,313,800,781,957,895,1097,984,746
1486944546.828933,99,987,875,945,896,1103,950,931
1486944546.851454,57,1199,921,942,969,1034,956,1003
1486944546.866911,90,1320,980,860,1006,979,936,1177
1486944546.889454,665,1294,1055,826,996,963,845,1219
1486944546.910928,818,1226,1033,758,964,946,839,1325
1486944546.926372,1005,1028,915,704,919,847,773,1332
1486944546.949224,1252,834,805,683,776,863,751,1441
1486944546.971501,1395,904,700,719,747,804,652,1404
1486944546.986996,1391,885,506,711,761,747,594,1491
1486944547.008465,1384,904,428,721,780,824,582,1512
1486944547.031396,1418,982,452,795,842,882,546,1443
1486944547.046501,1283,1000,440,840,897,863,501,1393
1486944547.069048,1146,786,405,779,880,802,460,1410
1486944547.09196,952,743,362,701,788,761,370,1370
1486944547.105863,842,746,374,686,710,658,360,1418
1486944547.128717,527,845,506,552,611,657,378,1589
1486944547.151255,296,925,616,494,627,655,361,1689
1486944547.166563,189,946,694,516,562,626,375,1749
1486944547.189502,636,967,784,614,614,663,375,1751
